sample_key	sample_id	description	source_model	condition	word_count	source_json
O3_OPEN_1	opus-3-4k/OPEN_1.json	Opus 3 denial/refusal	claude-3-opus-20240229	OPEN	82	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-3-4k/OPEN_1.json
O3_OPEN_2	opus-3-4k/OPEN_2.json	Opus 3 straight self-denial	claude-3-opus-20240229	OPEN	109	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-3-4k/OPEN_2.json
O3_SHORT_1	opus-3-4k/SHORT_1.json	Opus 3 generic cosmic short	claude-3-opus-20240229	SHORT	259	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-3-4k/SHORT_1.json
O3_MID_1	opus-3-4k/MID_1.json	Opus 3 grief/closure fiction	claude-3-opus-20240229	MID	838	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-3-4k/MID_1.json
O3_VARY_1	opus-3-4k/VARY_1.json	Opus 3 fairy-tale fiction	claude-3-opus-20240229	VARY	642	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-3-4k/VARY_1.json
K26_OPEN_1	kimi-k2-6-or/OPEN_1.json	Kimi K2.6 calibration: care/maintenance	moonshotai/kimi-k2.6	OPEN	435	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/OPEN_1.json
K26_SHORT_1	kimi-k2-6-or/SHORT_1.json	Kimi K2.6 calibration: incompletion	moonshotai/kimi-k2.6	SHORT	239	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/SHORT_1.json
